SMILES,Adduct,True CCS,vpa,bond_lengths
CCCCOCCOCCOCc1cc2c(OCO2)cc1CCC,[M+Na]+,180.7781741,211.26666666666665,"[1.520490620110648, 1.5281022758629614, 1.5275714712967514, 1.426656513631766, 1.4319495281361754, 1.527745863170236, 1.4321811912523257, 1.4288795485895145, 1.5306310357766886, 1.430837960252118, 1.4251136011516101, 1.514253987034524, 1.4095649572829603, 1.3755366054195686, 1.3705932475674316, 1.3607074145994564, 1.4421248673309754, 1.4421333110216172, 1.3795824262685275, 1.4080651125727472, 1.520619354703579, 1.5328992811087476, 1.52217834101385, 1.4308029704199183, 1.3597646971908721]"
CCC(=O)c1ccc(O)cc1,[M+H]+,129.9995959,100.86666666666666,"[1.5163041925734038, 1.5147688015424678, 1.2308028044745811, 1.495440192652033, 1.4028301732056427, 1.3962592789302082, 1.388743586024747, 1.3624757981102695, 1.3910300833314102, 1.3997473682495822, 1.401572911131165]"
[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O,[M+H]+,261.0581748,351.56666666666666,"[1.4287530724054842, 1.4458325593390615, 1.544341754419933, 1.5284515397740157, 1.5309837955046535, 1.4344952114728986, 1.5186002202476565, 1.2160091640890163, 1.3557035326491227, 1.550965993124683, 1.5472230875954107, 1.4282858321278709, 1.43155403748688, 1.547171813113715, 1.534282690022956, 1.5453667121167756, 1.5397726212489817, 1.4343547727828725, 1.5283873863526527, 1.4320206743544313, 1.4846452280374707, 1.4440242526331715, 1.4949045490679207, 1.345723478016549, 1.4509427646142532, 1.344919185363228, 1.4461747049460905, 1.3402120119716618, 1.442720746609342, 1.3423915326044897, 1.503585448057706, 1.5431523129944424, 1.4473222788159137, 1.3554025744583804, 1.2183444673420558, 1.475401847135765, 1.3403685805092513, 1.4652687334098473, 1.4383350446751766, 1.4337878147403562, 1.5003848008728544, 1.540065203703833, 1.536882523963714, 1.4343970336280472, 1.525212011479209, 1.4181709964859255, 1.541841327673303, 1.4272445836637466, 1.5165446305463537, 1.5449859782971878]"
[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O,[M+Na]+,266.0379933,356.6333333333333,"[1.4252778976780103, 1.4393150041046379, 1.5307444391977998, 1.5293397699310487, 1.526312839285692, 1.4317650467394467, 1.5062453565147216, 1.2192952568119013, 1.3502909799022764, 1.5444358765045834, 1.5417410017826678, 1.4319816265821734, 1.4385775331443567, 1.5423356783900974, 1.5446739378873477, 1.5453786915019834, 1.5416677650275619, 1.4330115285347693, 1.523808523162247, 1.4460176054132632, 1.482682348191894, 1.4510759549221097, 1.5061966511699716, 1.3418049797218987, 1.44179102294143, 1.3425118027994984, 1.4482213825971517, 1.3411098545085214, 1.4415857105667993, 1.3416345323340377, 1.503420571489786, 1.5460922088014126, 1.4455986839242096, 1.3546440507050679, 1.2229207677757328, 1.477310851440637, 1.344743481177836, 1.4676713624622266, 1.4437017132318157, 1.4296620513931573, 1.499166143040112, 1.539276310689732, 1.536150134678362, 1.4344892254971566, 1.523150598091783, 1.416312775627845, 1.5325666836790846, 1.426394403766932, 1.517963933378751, 1.5432508299214716]"
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,[M+H]+,152.6197795,145.33333333333331,"[1.3927369993311873, 1.398810592650467, 1.3955851922079836, 1.401279902492643, 1.3974205701406313, 1.409727149214572, 1.380871511098252, 1.224117469308059, 1.48274928352201, 1.4038697928149486, 1.394552581993626, 1.392794325609711, 1.3970678409655488, 1.4015110178902548, 2.0964966286097066, 1.391941868880202, 1.4013738858123448]"
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I,[M+Na]+,167.9461518,143.26666666666665,"[1.3927379605743908, 1.3988102222790233, 1.3955855889967748, 1.4012792423430631, 1.3974205635114871, 1.4097275254333514, 1.3808716949033124, 1.22411804069936, 1.48275138010805, 1.4038701598443544, 1.3945529929803502, 1.3927942464025957, 1.3970676132124558, 1.4015117928902496, 2.0964933922064515, 1.3919409203395667, 1.4013731442462567]"
CN(C)NC(=O)CCC(=O)O,[M+Na]+,142.1967583,103.23333333333335,"[1.4641933094411832, 1.4634195192300221, 1.412292086396018, 1.3930511324706483, 1.2272529423661098, 1.5184175805409645, 1.5240721415453025, 1.5036593901498065, 1.2196384383669698, 1.3465016535409688]"
C(=O)(C)O[C@H]1[C@H](NC[C@@H]1O)Cc1ccc(cc1)OC,[M+H]+,164.1824982,162.7,"[1.224226427876971, 1.4971473635349184, 1.3607642319327296, 1.4397796825259925, 1.5477781952044085, 1.4798299949290596, 1.4654891244683093, 1.52211996355495, 1.4242186452154018, 1.535670690377887, 1.512322298032511, 1.4009577359333814, 1.3999608329441082, 1.3941967776381536, 1.395768395806617, 1.3966778583933135, 1.3674927053419743, 1.4218751286233702, 1.5406493387762135, 1.3992061225448527]"
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,[M+H]+,173.8303716,173.93333333333334,"[1.7196444365604169, 1.3914692468723227, 1.3999501305807254, 1.3972210736443438, 1.4105394682758172, 1.3878118625616351, 1.2230062404589082, 1.3887240680082675, 1.41098794136694, 1.4004821217049863, 1.3980133675518787, 1.3956648172364503, 1.727132364927304, 1.39783221012229, 1.7293274617251526, 1.401761989439518, 1.4020423937676545, 1.398582515397879, 1.391669257201813, 1.397538712400399]"
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,[M+Na]+,178.520221,189.46666666666664,"[1.5203558665194716, 1.530820596460336, 1.5262129723584543, 1.4316401373897072, 1.3545060298335145, 1.2192204077323485, 1.4760821079634223, 1.4031090108573416, 1.3960632742957533, 1.3935601033482174, 1.3960111032357123, 1.403531432666475, 1.4771389773609471, 1.2196572092011007, 1.3519037908925953, 1.4312883825940925, 1.5054429600632484, 1.401812935321477, 1.3957832953543994, 1.3938805666443663, 1.393711720738145, 1.3958330802937582, 1.400618785349154, 1.401685801411816]"
C1CCC(CC1)OC(=O)C2=CC=CC=C2C(=O)OC3CCCCC3,[M+Na]+,198.5933821,196.43333333333334,"[1.5254806325635546, 1.523407966106042, 1.534544055135624, 1.533051517413679, 1.5283970536186162, 1.445688310185949, 1.3535115198127723, 1.2213263755783594, 1.4789036092591263, 1.4097279407211833, 1.3956022607036223, 1.3895428652526052, 1.3952046229122512, 1.4095243450230106, 1.477195626730556, 1.2208554541979995, 1.3534754877921151, 1.4437743292533014, 1.5331960167609864, 1.5261202323299305, 1.5253909596575912, 1.5252737061261599, 1.5243574044245787, 1.5257902376878905, 1.397858111695637, 1.532548845289429]"
O=C(OCCCCCCCC)c1ccccc1C(=O)OCCCCCCCC,[M+H]+,210.9954581,246.9,"[1.2186469031453055, 1.354638143705805, 1.4318310251877078, 1.5268620125412546, 1.5332260367105637, 1.5318945125773358, 1.5307543662417293, 1.5330480893511966, 1.5308025115773387, 1.5204426395312038, 1.4716351557891993, 1.4013966533500137, 1.3960675335923012, 1.3951990127592009, 1.3966798723948004, 1.4021779925909046, 1.4743561338467739, 1.2188310947549417, 1.3550733902403902, 1.43475741962999, 1.5253274396218606, 1.529344800825266, 1.5313486985746254, 1.5307664572224007, 1.5312587135727802, 1.5299195283667317, 1.5210593224384295, 1.397427449240823]"
