SMILES,vpa,Adduct,mz
CN1C=NC(C[C@H](N)C(O)=O)=C1,104.46666666666667,[M+H]+,170.09240304409
CN1C=NC(C[C@H](N)C(O)=O)=C1,104.46666666666667,[M+Na]+,192.07434729209
CN1C=NC(C[C@H](N)C(O)=O)=C1,104.46666666666667,[M-H]-,168.07785013991
NCCCN,60.4,[M+H]+,75.09167477208999
NCCCN,60.4,[M+Na]+,97.07361902008999
NCCCN,60.4,[M-H]-,73.07712186791
CCC(=O)C(O)=O,64.4,[M+H]+,103.03897050409
CCC(=O)C(O)=O,64.4,[M+Na]+,125.02091475209001
CCC(=O)C(O)=O,64.4,[M-H]-,101.02441759991001
CC[C@H](O)C(O)=O,68.33333333333333,[M+H]+,105.05462056809
CC[C@H](O)C(O)=O,68.33333333333333,[M+Na]+,127.03656481609
CC[C@H](O)C(O)=O,68.33333333333333,[M-H]-,103.04006766391001
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,181.79999999999998,[M+H]+,301.1798210800907
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,181.79999999999998,[M+Na]+,323.16176532809067
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,181.79999999999998,[M-H]-,299.1652681759106
C[C@@H](O)CC(O)=O,68.13333333333334,[M+H]+,105.05462056809
C[C@@H](O)CC(O)=O,68.13333333333334,[M+Na]+,127.03656481609
C[C@@H](O)CC(O)=O,68.13333333333334,[M-H]-,103.04006766391001
OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,126.33333333333334,[M+H]+,229.08189793609
OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,126.33333333333334,[M+Na]+,251.06384218409
OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,126.33333333333334,[M-H]-,227.06734503191
NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,127.96666666666665,[M+H]+,228.09788234809
NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,127.96666666666665,[M+Na]+,250.07982659609002
NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,127.96666666666665,[M-H]-,226.08332944391
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,204.3,[M+H]+,347.2216858920909
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,204.3,[M+Na]+,369.20363014009087
